Domain,Area,Element,Item,Year,Unit,Value
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1961","1000 tonnes","9722"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1962","1000 tonnes","11791"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1963","1000 tonnes","11365"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1964","1000 tonnes","12799"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1965","1000 tonnes","13717"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1966","1000 tonnes","13439"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1967","1000 tonnes","14650"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1968","1000 tonnes","13143"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1969","1000 tonnes","13580"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1970","1000 tonnes","13267"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1971","1000 tonnes","14975"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1972","1000 tonnes","15534"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1973","1000 tonnes","15316"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1974","1000 tonnes","16395"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1975","1000 tonnes","13936"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1976","1000 tonnes","13263"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1977","1000 tonnes","16727"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1978","1000 tonnes","17262"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1979","1000 tonnes","17417"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1980","1000 tonnes","19473"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1981","1000 tonnes","19629"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1982","1000 tonnes","21919"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1983","1000 tonnes","21306"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1984","1000 tonnes","26614"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1985","1000 tonnes","22486"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1986","1000 tonnes","24509"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1987","1000 tonnes","21698"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1988","1000 tonnes","21063"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1989","1000 tonnes","22729"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1990","1000 tonnes","22569"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1991","1000 tonnes","22635"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1992","1000 tonnes","22064"
